Data da Coleta,Amostra,Motivo,Município,Sistema,Chuva nas Últimas 48h,Cloro Residual Livre (mg/L),Turbidez (uT),Cor Aparente (uH),pH,Coliformes Totais,E. Coli,Fluoretação
3 de mar. de 2026,260613000032,Rotina,Porto Real do Colégio,SAA PORTO REAL DO COLEGIO URBANO,Sim,2,15,,,Presente,Ausente,Não
3 de mar. de 2026,MC 22,Rotina,Matriz de Camaragibe,SAA DE MATRIZ DE CAMARAGIBE URBANO,Não,0.2,,,,Sem Informações,Sem Informações,Não
3 de mar. de 2026,260923000023,Rotina,Olivença,SAC DE OLIVENCA VEICULO TRANSPORTADOR,Sim,1,7,,,Ausente,Ausente,Não
3 de mar. de 2026,2609200000023,Rotina,Poço das Trincheiras,SAA DE PAO DE ACUCAR URBANO,Não,1,0.89,,,Sem Informações,Sem Informações,Não
3 de mar. de 2026,260916000027,Rotina,Santana do Ipanema,SAA DE PAO DE ACUCAR URBANO,Sim,0.8,0.7,,,Ausente,Ausente,Não
3 de mar. de 2026,JAC 159,Rotina,Jacuípe,SAA DE JACUIPE URBANO,Sim,1,,,,Sem Informações,Sem Informações,Não
3 de mar. de 2026,MCZ017,Rotina,Maceió,SAC MACEIO ARENA OURO PRETO,Não,0,,,,Sem Informações,Sem Informações,Não
3 de mar. de 2026,JAC 164,Rotina,Jacuípe,SAA DE JACUIPE URBANO,Sim,1.5,,,,Sem Informações,Sem Informações,Não
3 de mar. de 2026,MC 23,Rotina,Matriz de Camaragibe,SAA DE MATRIZ DE CAMARAGIBE URBANO,Não,0.5,,,,Sem Informações,Sem Informações,Não
3 de mar. de 2026,260613000031,Rotina,Porto Real do Colégio,SAA PORTO REAL DO COLEGIO URBANO,Sim,2,13,,,Ausente,Ausente,Não
3 de mar. de 2026,260613000035,Rotina,Porto Real do Colégio,SAA PORTO REAL DO COLEGIO URBANO,Sim,2,13.7,,,Ausente,Ausente,Não
3 de mar. de 2026,MCZ015,Rotina,Maceió,SAA MACEIO RUI PALMEIRA 5D,Não,1,,,,Sem Informações,Sem Informações,Não
3 de mar. de 2026,260917000022,Rotina,Monteirópolis,SAA DE PAO DE ACUCAR URBANO,Sim,2.5,95,,,Presente,Sem Informações,Não
3 de mar. de 2026,260613000034,Rotina,Porto Real do Colégio,SAA PORTO REAL DO COLEGIO URBANO,Sim,1.5,11.7,,,Ausente,Ausente,Não
3 de mar. de 2026,260917000021,Rotina,Monteirópolis,SAA DE PAO DE ACUCAR URBANO,Sim,2,8.8,,,Ausente,Ausente,Não
3 de mar. de 2026,260917000023,Rotina,Monteirópolis,SAA DE PAO DE ACUCAR URBANO,Sim,2.5,5.8,,,Ausente,Ausente,Não
3 de mar. de 2026,260923000022,Rotina,Olivença,SAC POCO ARTESIANO SITIO SAO JOSE,Sim,,0.2,,,Ausente,Ausente,Não
2 de mar. de 2026,260921000025,Rotina,Carneiros,SAA DE PAO DE ACUCAR URBANO,Não,1,24,,,Ausente,Ausente,Não
2 de mar. de 2026,260727000009,Rotina,Jaramataia,SAA DE PAO DE ACUCAR URBANO,Sim,0.5,81,,,Ausente,Ausente,Não
2 de mar. de 2026,260920000025,Rotina,Poço das Trincheiras,SAC DE POCO DAS TRINCHEIRAS VEICULO TRANSPORTADOR,Não,1,0.84,,,Sem Informações,Sem Informações,Não
2 de mar. de 2026,JAC 158,Rotina,Jacuípe,SAA DE JACUIPE URBANO,Sim,1.5,,,,Sem Informações,Sem Informações,Não
2 de mar. de 2026,260921000022,Rotina,Carneiros,SAA DE PAO DE ACUCAR URBANO,Não,1,22,,,Ausente,Ausente,Não
2 de mar. de 2026,JAC 157,Rotina,Jacuípe,SAA DE JACUIPE URBANO,Sim,1.5,,,,Sem Informações,Sem Informações,Não
2 de mar. de 2026,261007000035,Rotina,Delmiro Gouveia,SAA DE DELMIRO GOUVEIA ADUTORAA,Sim,3,,,,Sem Informações,Sem Informações,Não
2 de mar. de 2026,MC 20,Rotina,Matriz de Camaragibe,SAA DE MATRIZ DE CAMARAGIBE URBANO,Não,1,,,,Sem Informações,Sem Informações,Não
2 de mar. de 2026,260720000048,Rotina,Arapiraca,SAA DE ARAPIRACAA,Sim,1.5,3.3,,,Presente,Ausente,Não
2 de mar. de 2026,JAC 154,Rotina,Jacuípe,SAA DE JACUIPE URBANO,Sim,1.5,,,,Sem Informações,Sem Informações,Não
2 de mar. de 2026,260921000023,Rotina,Carneiros,SAA DE PAO DE ACUCAR URBANO,Não,1.5,17,,,Ausente,Ausente,Não
2 de mar. de 2026,261007000034,Rotina,Delmiro Gouveia,SAA DE DELMIRO GOUVEIA ADUTORAA,Sim,3,,,,Sem Informações,Sem Informações,Não
2 de mar. de 2026,260727000010,Rotina,Jaramataia,SAA DE PAO DE ACUCAR URBANO,Sim,0.5,82,,,Ausente,Ausente,Não
2 de mar. de 2026,260807000017,Rotina,Igaci,SAA DE ARAPIRACAA,Sim,,1.48,,,Presente,Presente,Não
2 de mar. de 2026,260808000026,Rotina,Maribondo,SAA DE ANADIA,Sim,0.1,16.5,55,,Ausente,Ausente,Não
2 de mar. de 2026,260807000019,Rotina,Igaci,SAA DE ARAPIRACAA,Sim,,1.03,,,Presente,Ausente,Não
2 de mar. de 2026,IBT 001,Rotina,Ibateguara,SAA DE IBATEGUARA URBANO SAMAE,Sim,0.5,,,,Sem Informações,Sem Informações,Não
2 de mar. de 2026,260715000040,Rotina,Traipu,SAA DE TRAIPU URBANO,Sim,0.5,8.2,,,Ausente,Ausente,Não
2 de mar. de 2026,260921000021,Rotina,Carneiros,SAA DE PAO DE ACUCAR URBANO,Não,0.3,0.1,,,Ausente,Ausente,Não
2 de mar. de 2026,2609200000021,Rotina,Poço das Trincheiras,SAA DE PAO DE ACUCAR URBANO,Não,1,0.86,,,Sem Informações,Sem Informações,Não
2 de mar. de 2026,260921000024,Rotina,Carneiros,SAA DE PAO DE ACUCAR URBANO,Não,0.3,5,,,Ausente,Ausente,Não
2 de mar. de 2026,260715000036,Rotina,Traipu,SAC DE TRAIPU SITIO NOVO,Sim,1.5,0.3,,,Ausente,Ausente,Não
2 de mar. de 2026,260807000018,Rotina,Igaci,SAC DE IGACI JATOBA,Sim,,0.72,,,Ausente,Ausente,Não
2 de mar. de 2026,260720000041,Rotina,Arapiraca,SAA DE ARAPIRACAA,Sim,1.5,0.85,,,Presente,Sem Informações,Não
