Coord,Prestadora,P Dashboard
"-9.6236, -37.7492",ADS,"Pressão: 30 mca
Data de Aferição: 22/04/25
Status: Conforme"
"-9.6235, -37.7492",ADS,"Pressão: 20 mca
Data de Aferição: 22/04/25
Status: Conforme"
"-9.6229, -37.7601",ADS,"Pressão: 85 mca
Data de Aferição: 22/04/25
Status: Desconforme"
"-9.6178, -35.7630",BRK,"Pressão: 28 mca
Data de Aferição: 03/04/25
Status: Conforme"
"-9.6176, -35.7643",BRK,"Pressão: 26 mca
Data de Aferição: 03/04/25
Status: Conforme"
"-9.6148, -35.7683",BRK,"Pressão: 18 mca
Data de Aferição: 03/04/25
Status: Conforme"
"-9.6142, -35.7672",BRK,"Pressão: 7 mca
Data de Aferição: 03/04/25
Status: Desconforme"
"-9.6126, -35.7705",BRK,"Pressão: 17 mca
Data de Aferição: 03/04/25
Status: Conforme"
"-9.6117, -35.7685",BRK,"Pressão: 17 mca
Data de Aferição: 03/04/25
Status: Conforme"
"-9.61092, -35.954869",BRK,"Pressão: 12 mca
Data de Aferição: 22/11/24
Status: Conforme"
"-9.610179, -35.959511",BRK,"Pressão: 4 mca
Data de Aferição: 22/11/24
Status: Desconforme"
"-9.6093, -35.7197",BRK,"Pressão: 10 mca
Data de Aferição: 07/11/24
Status: Conforme"
"-9.6088, -35.7429",BRK,"Pressão: 9 mca
Data de Aferição: 07/11/24
Status: Desconforme"
"-9.6088, -35.7198",BRK,"Pressão: 12 mca
Data de Aferição: 07/11/24
Status: Conforme"
"-9.6087, -37.7620",ADS,"Pressão: 19 mca
Data de Aferição: 22/04/25
Status: Conforme"
"-9.607901, -35.95501",BRK,"Pressão: 23 mca
Data de Aferição: 22/11/24
Status: Conforme"
"-9.6071, -37.7602",ADS,"Pressão: 22 mca
Data de Aferição: 22/04/25
Status: Conforme"
"-9.6056, -37.7749",ADS,"Pressão: 28 mca
Data de Aferição: 22/04/25
Status: Conforme"
"-9.6055, -37.7749",ADS,"Pressão: 30 mca
Data de Aferição: 22/04/25
Status: Conforme"
"-9.603, -35.821",BRK,"Pressão: 8 mca
Data de Aferição: 17/10/24
Status: Desconforme"
"-9.603, -35.819",BRK,"Pressão: 25 mca
Data de Aferição: 17/10/24
Status: Conforme"
"-9.602394, -35.955701",BRK,"Pressão: 10 mca
Data de Aferição: 22/11/24
Status: Conforme"
"-9.601, -35.824",BRK,"Pressão: 12 mca
Data de Aferição: 17/10/24
Status: Conforme"
"-9.6, -35.825",BRK,"Pressão: 12 mca
Data de Aferição: 17/10/24
Status: Conforme"
"-9.6, -35.823",BRK,"Pressão: 3 mca
Data de Aferição: 17/10/24
Status: Desconforme"
"-9.599483, -36.539621",VAA,"Pressão: 20 mca
Data de Aferição: 22/05/25
Status: Conforme"
"-9.599, -35.823",BRK,"Pressão: 7 mca
Data de Aferição: 17/10/24
Status: Desconforme"
"-9.599, -35.821",BRK,"Pressão: 6 mca
Data de Aferição: 17/10/24
Status: Desconforme"
"-9.599, -35.82",BRK,"Pressão: 6 mca
Data de Aferição: 17/10/24
Status: Desconforme"
"-9.5954, -37.7717",ADS,"Pressão: 25 mca
Data de Aferição: 22/04/25
Status: Conforme"
"-9.595194, -36.545392",VAA,"Pressão: 11 mca
Data de Aferição: 22/05/25
Status: Conforme"
"-9.592006, -35.957737",BRK,"Pressão: 7 mca
Data de Aferição: 22/11/24
Status: Desconforme"
"-9.583614, -36.310748",VAA,"Pressão: 17 mca
Data de Aferição: 19/11/24
Status: Conforme"
"-9.580503, -36.309432",VAA,"Pressão: 3 mca
Data de Aferição: 19/11/24
Status: Desconforme"
"-9.580083, -36.309411",VAA,"Pressão: 4 mca
Data de Aferição: 19/11/24
Status: Desconforme"
"-9.579694, -36.306407",VAA,"Pressão: 10 mca
Data de Aferição: 19/11/24
Status: Conforme"
"-9.578592, -36.306386",VAA,"Pressão: 10 mca
Data de Aferição: 19/11/24
Status: Conforme"
"-9.577831, -36.307294",VAA,"Pressão: 3 mca
Data de Aferição: 19/11/24
Status: Desconforme"
"-9.576297, -36.305771",VAA,"Pressão: 8 mca
Data de Aferição: 19/11/24
Status: Desconforme"
"-9.575797, -36.304221",VAA,"Pressão: 6 mca
Data de Aferição: 19/11/24
Status: Desconforme"
"-9.5742, -35.8253",BRK,"Pressão: 6 mca
Data de Aferição: 18/10/24
Status: Desconforme"
"-9.5741, -35.8276",BRK,"Pressão: 6 mca
Data de Aferição: 18/10/24
Status: Desconforme"
"-9.5732, -35.8265",BRK,"Pressão: 12 mca
Data de Aferição: 18/10/24
Status: Conforme"
"-9.573, -35.825",BRK,"Pressão: 11 mca
Data de Aferição: 18/10/24
Status: Conforme"
"-9.5674, -35.8242",BRK,"Pressão: 7 mca
Data de Aferição: 18/10/24
Status: Desconforme"
"-9.5671, -35.8253",BRK,"Pressão: 5 mca
Data de Aferição: 18/10/24
Status: Desconforme"
"-9.5656, -35.8251",BRK,"Pressão: 17 mca
Data de Aferição: 18/10/24
Status: Conforme"
"-9.5653, -35.8241",BRK,"Pressão: 23 mca
Data de Aferição: 18/10/24
Status: Conforme"
"-9.558426, -35.966619",BRK,"Pressão: 11 mca
Data de Aferição: 22/11/24
Status: Conforme"
"-9.549445, -35.962766",BRK,"Pressão: 6 mca
Data de Aferição: 22/11/24
Status: Desconforme"
"-9.545684, -35.957155",BRK,"Pressão: 20 mca
Data de Aferição: 22/11/24
Status: Conforme"
"-9.5390, -35.8105",BRK,"Pressão: 9 mca
Data de Aferição: 26/02/25
Status: Desconforme"
"-9.5371, -35.8098",BRK,"Pressão: 8 mca
Data de Aferição: 26/02/25
Status: Desconforme"
"-9.5165, -35.8100",BRK,"Pressão: 11 mca
Data de Aferição: 26/02/25
Status: Conforme"
"-9.5161, -35.8072",BRK,"Pressão: 15 mca
Data de Aferição: 26/02/25
Status: Conforme"
"-9.5159, -35.8053",BRK,"Pressão: 10 mca
Data de Aferição: 26/02/25
Status: Conforme"
"-9.51556, -36.00361",BRK,"Pressão: 14 mca
Data de Aferição: 20/02/25
Status: Conforme"
"-9.5155, -35.8063",BRK,"Pressão: 11 mca
Data de Aferição: 26/02/25
Status: Conforme"
"-9.51444, -36.00528",BRK,"Pressão: 10 mca
Data de Aferição: 20/02/25
Status: Conforme"
"-9.5126, -35.8084",BRK,"Pressão: 12 mca
Data de Aferição: 26/02/25
Status: Conforme"
"-9.51250, -36.00694",BRK,"Pressão: 10 mca
Data de Aferição: 20/02/25
Status: Conforme"
"-9.5114, -35.8115",BRK,"Pressão: 11 mca
Data de Aferição: 26/02/25
Status: Conforme"
"-9.5081, -35.8154",BRK,"Pressão: 10 mca
Data de Aferição: 26/02/25
Status: Conforme"
"-9.5080, -35.8131",BRK,"Pressão: 7 mca
Data de Aferição: 26/02/25
Status: Desconforme"
"-9.50639, -36.02056",BRK,"Pressão: 17 mca
Data de Aferição: 13/02/25
Status: Conforme"
"-9.50611, -36.02361",BRK,"Pressão: 3,5 mca
Data de Aferição: 13/02/25
Status: Desconforme"
"-9.50583, -36.02194",BRK,"Pressão: 17 mca
Data de Aferição: 13/02/25
Status: Conforme"
"-9.50528, -36.02083",BRK,"Pressão: 15 mca
Data de Aferição: 13/02/25
Status: Conforme"
"-9.50361, -36.02444",BRK,"Pressão: 3 mca
Data de Aferição: 13/02/25
Status: Desconforme"
"-9.50361, -36.02194",BRK,"Pressão: 19 mca
Data de Aferição: 13/02/25
Status: Conforme"
"-9.5034, -37.8280",ADS,"Pressão: 3 mca
Data de Aferição: 24/04/25
Status: Desconforme"
"-9.5031, -37.8310",ADS,"Pressão: 16 mca
Data de Aferição: 24/04/25
Status: Conforme"
"-9.5028, -37.8296",ADS,"Pressão: 9 mca
Data de Aferição: 24/04/25
Status: Desconforme"
"-9.5027, -37.8360",ADS,"Pressão: 10 mca
Data de Aferição: 24/04/25
Status: Conforme"
"-9.5027, -37.8359",ADS,"Pressão: 8 mca
Data de Aferição: 24/04/25
Status: Desconforme"
"-9.5026, -37.8333",ADS,"Pressão: 22 mca
Data de Aferição: 24/04/25
Status: Conforme"
"-9.50250, -36.02528",BRK,"Pressão: 5 mca
Data de Aferição: 13/02/25
Status: Desconforme"
"-9.50250, -36.02167",BRK,"Pressão: 19 mca
Data de Aferição: 13/02/25
Status: Conforme"
"-9.50167, -36.02583",BRK,"Pressão: 7,5 mca
Data de Aferição: 13/02/25
Status: Desconforme"
"-9.5013, -37.8304",ADS,"Pressão: 10 mca
Data de Aferição: 24/04/25
Status: Conforme"
"-9.5006, -37.8322",ADS,"Pressão: 10 mca
Data de Aferição: 24/04/25
Status: Conforme"
"-9.50000, -36.02361",BRK,"Pressão: 21 mca
Data de Aferição: 13/02/25
Status: Conforme"
"-9.4959, -37.8298",ADS,"Pressão: 39 mca
Data de Aferição: 24/04/25
Status: Conforme"
"-9.4945, -37.8306",ADS,"Pressão: 17 mca
Data de Aferição: 24/04/25
Status: Conforme"
"-9.4284, -36.6481",ADS,"Pressão: 14 mca
Data de Aferição: 18/06/25
Status: Conforme"
"-9.4271, -36.6495",ADS,"Pressão: 10 mca
Data de Aferição: 18/06/25
Status: Conforme"
"-9.4262, -36.6477",ADS,"Pressão: 12,5 mca
Data de Aferição: 18/06/25
Status: Conforme"
"-9.4243, -36.6374",ADS,"Pressão: 18 mca
Data de Aferição: 18/06/25
Status: Conforme"
"-9.4235, -36.6385",ADS,"Pressão: 16,5 mca
Data de Aferição: 18/06/25
Status: Conforme"
"-9.4233, -36.6380",ADS,"Pressão: 18,5 mca
Data de Aferição: 18/06/25
Status: Conforme"
"-9.4226, -36.6387",ADS,"Pressão: 16 mca
Data de Aferição: 18/06/25
Status: Conforme"
"-9.4203, -36.6458",ADS,"Pressão: 32 mca
Data de Aferição: 18/06/25
Status: Conforme"
"-9.4193, -36.6403",ADS,"Pressão: 37 mca
Data de Aferição: 18/06/25
Status: Conforme"
"-9.4181, -36.6424",ADS,"Pressão: 44,5 mca
Data de Aferição: 18/06/25
Status: Conforme"
"-9.4138, -36.0764",VAA,"Pressão: 40 mca
Data de Aferição: 16/07/25
Status: Conforme"
"-9.4132, -36.0761",VAA,"Pressão: 45 mca
Data de Aferição: 16/07/25
Status: Conforme"
"-9.4125, -36.0763",VAA,"Pressão: 40 mca
Data de Aferição: 16/07/25
Status: Conforme"
"-9.4122, -36.0767",VAA,"Pressão: 45 mca
Data de Aferição: 16/07/25
Status: Conforme"
"-9.4112, -36.0781",VAA,"Pressão: 45 mca
Data de Aferição: 16/07/25
Status: Conforme"
"-9.4110, -36.0817",VAA,"Pressão: 38 mca
Data de Aferição: 16/07/25
Status: Conforme"
"-9.4098, -36.0799",VAA,"Pressão: 40 mca
Data de Aferição: 16/07/25
Status: Conforme"
"-9.4096, -36.0822",VAA,"Pressão: 39 mca
Data de Aferição: 16/07/25
Status: Conforme"
"-9.4041, -36.0845",VAA,"Pressão: 30 mca
Data de Aferição: 16/07/25
Status: Conforme"
"-9.4018, -36.0869",VAA,"Pressão: 21 mca
Data de Aferição: 16/07/25
Status: Conforme"
"-9.3939, -35.8391",BRK,"Pressão: 13 mca
Data de Aferição: 27/02/25
Status: Conforme"
"-9.3933, -35.8405",BRK,"Pressão: 29 mca
Data de Aferição: 27/02/25
Status: Conforme"
"-9.3927, -35.8402",BRK,"Pressão: 15 mca
Data de Aferição: 27/02/25
Status: Conforme"
