Município,Processo,Prestadora,NC,Descrição,Status,Categoria
PENEDO,E:49070.0000002946/2025,ADS,NC 76,Ausência de laje sanitária do poço,Repasse,Estrutural
PENEDO,E:49070.0000002946/2025,ADS,NC 21,Ausência de identificação,Repasse,Ausência de Identificação
PENEDO,E:49070.0000002946/2025,ADS,NC 22,Ausência de limpeza e capinação no perímetro,Repasse,Limpeza e Conservação
PENEDO,E:49070.0000002946/2025,ADS,NC 23,Corrosão na escada de acesso do reservatório,Repasse,Segurança
PENEDO,E:49070.0000002946/2025,ADS,NC 24,Ausência de guarda-corpo na laje de coberta,Repasse,Segurança
PENEDO,E:49070.0000002946/2025,ADS,NC 25,Ausência de Identificação e sinalização,Repasse,Ausência de Identificação
PENEDO,E:49070.0000002946/2025,ADS,NC 26,Ausência de Limpeza e capinação,Repasse,Limpeza e Conservação
PENEDO,E:49070.0000002946/2025,ADS,NC 27,Ausência de laje sanitária do poço,Repasse,Estrutural
PENEDO,E:49070.0000002946/2025,ADS,NC 28,Ausência de dispositivo de cloração,Repasse,Estrutural
PENEDO,E:49070.0000002946/2025,ADS,NC 29,Tampa sanitária do poço danificada,Repasse,Outros
PENEDO,E:49070.0000002946/2025,ADS,NC 01,Ausência de identificação,Repasse,Ausência de Identificação
PENEDO,E:49070.0000002946/2025,ADS,NC 02,Vazamentos nos conjuntos de motobombas,Repasse,Hidráulico
PENEDO,E:49070.0000002946/2025,ADS,NC 03,Extintor com prazo de recarga vencido,Repasse,Segurança
PENEDO,E:49070.0000002946/2025,ADS,NC 04,Presença de bolhas nos decantadores,Repasse,Outros
PENEDO,E:49070.0000002946/2025,ADS,NC 99,Porta danificada,Repasse,Outros
PENEDO,E:49070.0000002946/2025,ADS,NC 06,Corrosão no guarda-corpo da ETA,Repasse,Segurança
PENEDO,E:49070.0000002946/2025,ADS,NC 97,Ausência de macromedidor,Justificado,Medição e Aferição
PENEDO,E:49070.0000002946/2025,ADS,NC 08,Armação expostas nas estruturas dos decantadores e floculadores,Repasse,Estrutural
PENEDO,E:49070.0000002946/2025,ADS,NC 09,Vazamentos nas tubulações da casa de bombas,Repasse,Hidráulico
PENEDO,E:49070.0000002946/2025,ADS,NC 10,Materiais armazenados de forma inadequada,Repasse,Outros
PENEDO,E:49070.0000002946/2025,ADS,NC 11,Fissuras na parede das casa de bombas,Repasse,Estrutural
PENEDO,E:49070.0000002946/2025,ADS,NC 12,Ausência de identificação e sinalização dos reservatórios,Repasse,Estrutural
PENEDO,E:49070.0000002946/2025,ADS,NC 18,Ausência de identificação e sinalização do poço,Repasse,Ausência de Identificação
