Município,Processo,Prestadora,NC,Descrição,Status,Categoria
MARAGOGI,E:49070.0000001774/2024,CASAL,NC 33,Ausência de portão de acesso,Sanado,Segurança
MARAGOGI,E:49070.0000001774/2024,CASAL,NC 32,Ausência de Macro medidor,Sanado,Medição e Aferição
MARAGOGI,E:49070.0000001774/2024,CASAL,NC 31,Ausência do dispositivo de Cloração d’água,Sanado,Estrutural
MARAGOGI,E:49070.0000001774/2024,CASAL,NC 30,Ausência de identificação do poço,Sanado,Ausência de Identificação
MARAGOGI,E:49070.0000001774/2024,CASAL,NC 29,Ausência de portão de acesso,Sanado,Segurança
MARAGOGI,E:49070.0000001774/2024,CASAL,NC 28,Ausência de Macro medidor,Sanado,Medição e Aferição
MARAGOGI,E:49070.0000001774/2024,CASAL,NC 27,Ausência da laje de proteção,Sanado,Segurança
MARAGOGI,E:49070.0000001774/2024,CASAL,NC 26,Ausência de identificação do poço,Sanado,Ausência de Identificação
MARAGOGI,E:49070.0000001774/2024,CASAL,NC 25,Ausência de portão de acesso,Sanado,Segurança
MARAGOGI,E:49070.0000001774/2024,CASAL,NC 24,Ausência de Macro medidor,Sanado,Medição e Aferição
MARAGOGI,E:49070.0000001774/2024,CASAL,NC 23,Materiais expostos no perímetro do poço,Sanado,Limpeza e Conservação
MARAGOGI,E:49070.0000001774/2024,CASAL,NC 22,Ausência do dispositivo de Cloração d’água,Sanado,Estrutural
MARAGOGI,E:49070.0000001774/2024,CASAL,NC 21,Ausência de identificação do poço,Sanado,Ausência de Identificação
MARAGOGI,E:49070.0000001774/2024,CASAL,NC 20,Ausência de portão de acesso,Sanado,Segurança
MARAGOGI,E:49070.0000001774/2024,CASAL,NC 19,Ausência de Macro medidor,Sanado,Medição e Aferição
MARAGOGI,E:49070.0000001774/2024,CASAL,NC 18,Ausência do dispositivo de Cloração d’água,Sanado,Estrutural
MARAGOGI,E:49070.0000001774/2024,CASAL,NC 17,Ausência de identificação do poço,Sanado,Ausência de Identificação
MARAGOGI,E:49070.0000001774/2024,CASAL,NC 16,Ausência de portão de acesso,Sanado,Segurança
MARAGOGI,E:49070.0000001774/2024,CASAL,NC 15,Ausência de Macro medidor,Sanado,Medição e Aferição
MARAGOGI,E:49070.0000001774/2024,CASAL,NC 14,Materiais expostos no perímetro do poço,Sanado,Limpeza e Conservação
MARAGOGI,E:49070.0000001774/2024,CASAL,NC 13,Ausência da laje de proteção,Sanado,Segurança
MARAGOGI,E:49070.0000001774/2024,CASAL,NC 12,Ausência do dispositivo de Cloração d’água,Sanado,Estrutural
MARAGOGI,E:49070.0000001774/2024,CASAL,NC 11,Ausência de identificação do poço,Sanado,Ausência de Identificação
MARAGOGI,E:49070.0000001774/2024,CASAL,NC 10,Ausência de portão de acesso,Sanado,Segurança
MARAGOGI,E:49070.0000001774/2024,CASAL,NC 09,Ausência de Macro medidor,Sanado,Medição e Aferição
MARAGOGI,E:49070.0000001774/2024,CASAL,NC 08,Ausência da laje de proteção,Sanado,Segurança
MARAGOGI,E:49070.0000001774/2024,CASAL,NC 07,Ausência do dispositivo de Cloração d’água,Sanado,Estrutural
MARAGOGI,E:49070.0000001774/2024,CASAL,NC 06,Ausência de Macro medidor,Sanado,Medição e Aferição
MARAGOGI,E:49070.0000001774/2024,CASAL,NC 05,Excesso de vegetação no perímetro do poço,Sanado,Limpeza e Conservação
MARAGOGI,E:49070.0000001774/2024,CASAL,NC 04,Ausência da laje de proteção,Sanado,Segurança
MARAGOGI,E:49070.0000001774/2024,CASAL,NC 03,Ausência do dispositivo de Cloração d’água,Sanado,Estrutural
MARAGOGI,E:49070.0000001774/2024,CASAL,NC 02,Ausência de identificação do poço,Sanado,Ausência de Identificação
MARAGOGI,E:49070.0000001774/2024,CASAL,NC 01,Ausência de portão de acesso,Sanado,Segurança
MARAGOGI,E:49070.0000000364/2026,CASAL,NC 78,"Área desprotegida, sem delimitação",Pendente,Outros
MARAGOGI,E:49070.0000000364/2026,CASAL,NC 77,Não remoção do dispositivo e tamponamento do poço,Pendente,Outros
MARAGOGI,E:49070.0000000364/2026,CASAL,NC 76,Ausência de dispositivo de cloração,Pendente,Estrutural
MARAGOGI,E:49070.0000000364/2026,CASAL,NC 75,Ausência de horímetro,Pendente,Outros
MARAGOGI,E:49070.0000000364/2026,CASAL,NC 74,"Área desprotegida, sem delimitação",Pendente,Outros
MARAGOGI,E:49070.0000000364/2026,CASAL,NC 73,Ausência de dispositivo de cloração,Pendente,Estrutural
MARAGOGI,E:49070.0000000364/2026,CASAL,NC 72,"Área desprotegida, sem delimitação",Pendente,Outros
MARAGOGI,E:49070.0000000364/2026,CASAL,NC 71,Ausência de laje de proteção,Pendente,Segurança
MARAGOGI,E:49070.0000000364/2026,CASAL,NC 01,Ausência de laje de proteção,Pendente,Segurança
MARAGOGI,E:49070.0000000364/2026,CASAL,NC 02,Ausência de dispositivo de cloração,Pendente,Estrutural
MARAGOGI,E:49070.0000000364/2026,CASAL,NC 03,Ausência de iluminação para trabalho noturno,Pendente,Segurança
MARAGOGI,E:49070.0000000364/2026,CASAL,NC 04,Ausência de laje de proteção,Pendente,Segurança
MARAGOGI,E:49070.0000000364/2026,CASAL,NC 05,Ausência de dispositivo de cloração,Pendente,Estrutural
MARAGOGI,E:49070.0000000364/2026,CASAL,NC 06,Ausência de iluminação para trabalho noturno,Pendente,Segurança
MARAGOGI,E:49070.0000000364/2026,CASAL,NC 07,Ausência de laje de proteção,Pendente,Segurança
MARAGOGI,E:49070.0000000364/2026,CASAL,NC 08,Ponto de vazamento,Pendente,Hidráulico
MARAGOGI,E:49070.0000000364/2026,CASAL,NC 09,Necessidade de limpeza na área,Pendente,Limpeza e Conservação
MARAGOGI,E:49070.0000000364/2026,CASAL,NC 10,Ausência de iluminação para trabalho noturno,Pendente,Segurança
MARAGOGI,E:49070.0000000364/2026,CASAL,NC 11,Ponto de vazamento,Pendente,Hidráulico
MARAGOGI,E:49070.0000000364/2026,CASAL,NC 12,Necessidade de limpeza na área,Pendente,Limpeza e Conservação
MARAGOGI,E:49070.0000000364/2026,CASAL,NC 13,Ausência de iluminação para trabalho noturno,Pendente,Segurança
MARAGOGI,E:49070.0000000364/2026,CASAL,NC 14,Ausência de laje de proteção,Pendente,Segurança
MARAGOGI,E:49070.0000000364/2026,CASAL,NC 15,"Área desprotegida, sem delimitação",Pendente,Outros
MARAGOGI,E:49070.0000000364/2026,CASAL,NC 16,Necessidade de limpeza na área,Pendente,Limpeza e Conservação
MARAGOGI,E:49070.0000000364/2026,CASAL,NC 17,"Área desprotegida, ausência de portão",Pendente,Outros
MARAGOGI,E:49070.0000000364/2026,CASAL,NC 18,"Área desprotegida, ausência de portão",Pendente,Outros
MARAGOGI,E:49070.0000000364/2026,CASAL,NC 19,Ausência de dispositivo de cloração,Pendente,Estrutural
MARAGOGI,E:49070.0000000364/2026,CASAL,NC 20,Ausência de iluminação para trabalho noturno,Pendente,Segurança
MARAGOGI,E:49070.0000000364/2026,CASAL,NC 21,"Área desprotegida, ausência de portão",Pendente,Outros
MARAGOGI,E:49070.0000000364/2026,CASAL,NC 22,Ausência de iluminação para trabalho noturno,Pendente,Segurança
MARAGOGI,E:49070.0000000364/2026,CASAL,NC 23,Ausência de iluminação para trabalho noturno,Pendente,Segurança
MARAGOGI,E:49070.0000000364/2026,CASAL,NC 24,"Área desprotegida, sem delimitação",Pendente,Outros
MARAGOGI,E:49070.0000000364/2026,CASAL,NC 25,Ausência de horímetro,Pendente,Outros
MARAGOGI,E:49070.0000000364/2026,CASAL,NC 26,Ausência de laje de proteção,Pendente,Segurança
MARAGOGI,E:49070.0000000364/2026,CASAL,NC 27,Adequação das instalações elétricas,Pendente,Outros
MARAGOGI,E:49070.0000000364/2026,CASAL,NC 28,Ausência de dispositivo de cloração,Pendente,Estrutural
MARAGOGI,E:49070.0000000364/2026,CASAL,NC 29,Ausência de laje de proteção,Pendente,Segurança
MARAGOGI,E:49070.0000000364/2026,CASAL,NC 30,"Área desprotegida, sem delimitação",Pendente,Outros
MARAGOGI,E:49070.0000000364/2026,CASAL,NC 31,Adequação das instalações elétricas,Pendente,Outros
MARAGOGI,E:49070.0000000364/2026,CASAL,NC 32,Ausência de dispositivo de cloração,Pendente,Estrutural
MARAGOGI,E:49070.0000000364/2026,CASAL,NC 33,Não remoção do dispositivo e tamponamento do poço,Pendente,Outros
MARAGOGI,E:49070.0000000364/2026,CASAL,NC 34,Ausência de iluminação para trabalho noturno,Pendente,Segurança
MARAGOGI,E:49070.0000000364/2026,CASAL,NC 35,"Área desprotegida, sem delimitação",Pendente,Outros
MARAGOGI,E:49070.0000000364/2026,CASAL,NC 36,Ausência de horímetro,Pendente,Outros
MARAGOGI,E:49070.0000000364/2026,CASAL,NC 37,Ausência de laje de proteção,Pendente,Segurança
MARAGOGI,E:49070.0000000364/2026,CASAL,NC 38,Adequação das instalações elétricas,Pendente,Outros
MARAGOGI,E:49070.0000000364/2026,CASAL,NC 39,Ausência de dispositivo de cloração,Pendente,Estrutural
MARAGOGI,E:49070.0000000364/2026,CASAL,NC 40,Ausência de iluminação para trabalho noturno,Pendente,Segurança
MARAGOGI,E:49070.0000000364/2026,CASAL,NC 41,"Área desprotegida, sem delimitação",Pendente,Outros
MARAGOGI,E:49070.0000000364/2026,CASAL,NC 42,Ausência de laje de proteção,Pendente,Segurança
MARAGOGI,E:49070.0000000364/2026,CASAL,NC 43,Ausência de dispositivo de cloração,Pendente,Estrutural
MARAGOGI,E:49070.0000000364/2026,CASAL,NC 44,Ausência de laje de proteção,Pendente,Segurança
MARAGOGI,E:49070.0000000364/2026,CASAL,NC 45,"Área desprotegida, sem delimitação",Pendente,Outros
MARAGOGI,E:49070.0000000364/2026,CASAL,NC 46,Ausência de dispositivo de cloração,Pendente,Estrutural
MARAGOGI,E:49070.0000000364/2026,CASAL,NC 47,Ponto de vazamento,Pendente,Hidráulico
MARAGOGI,E:49070.0000000364/2026,CASAL,NC 48,Necessidade de limpeza na área,Pendente,Limpeza e Conservação
MARAGOGI,E:49070.0000000364/2026,CASAL,NC 49,Ausência de horímetro,Pendente,Outros
MARAGOGI,E:49070.0000000364/2026,CASAL,NC 50,Ausência de dispositivo de cloração,Pendente,Estrutural
MARAGOGI,E:49070.0000000364/2026,CASAL,NC 51,"Área desprotegida, sem delimitação",Pendente,Outros
MARAGOGI,E:49070.0000000364/2026,CASAL,NC 52,Ausência de iluminação para trabalho noturno,Pendente,Segurança
MARAGOGI,E:49070.0000000364/2026,CASAL,NC 53,Ausência de horímetro,Pendente,Outros
MARAGOGI,E:49070.0000000364/2026,CASAL,NC 54,Ausência de iluminação para trabalho noturno,Pendente,Segurança
MARAGOGI,E:49070.0000000364/2026,CASAL,NC 55,Ausência de dispositivo de cloração,Pendente,Estrutural
MARAGOGI,E:49070.0000000364/2026,CASAL,NC 56,Necessidade de limpeza na área,Pendente,Limpeza e Conservação
MARAGOGI,E:49070.0000000364/2026,CASAL,NC 57,Ausência de iluminação para trabalho noturno,Pendente,Segurança
MARAGOGI,E:49070.0000000364/2026,CASAL,NC 58,Ausência de laje de proteção,Pendente,Segurança
MARAGOGI,E:49070.0000000364/2026,CASAL,NC 59,"Área desprotegida, sem delimitação",Pendente,Outros
MARAGOGI,E:49070.0000000364/2026,CASAL,NC 60,Ausência de horímetro,Pendente,Outros
MARAGOGI,E:49070.0000000364/2026,CASAL,NC 61,Ausência de dispositivo de cloração,Pendente,Estrutural
MARAGOGI,E:49070.0000000364/2026,CASAL,NC 62,Adequação das instalações elétricas,Pendente,Outros
MARAGOGI,E:49070.0000000364/2026,CASAL,NC 63,Ausência de iluminação para trabalho noturno,Pendente,Segurança
MARAGOGI,E:49070.0000000364/2026,CASAL,NC 64,"Área desprotegida, sem delimitação",Pendente,Outros
MARAGOGI,E:49070.0000000364/2026,CASAL,NC 65,Ausência de dispositivo de cloração,Pendente,Estrutural
MARAGOGI,E:49070.0000000364/2026,CASAL,NC 66,Ausência de iluminação para trabalho noturno,Pendente,Segurança
MARAGOGI,E:49070.0000000364/2026,CASAL,NC 67,"Área desprotegida, sem delimitação",Pendente,Outros
MARAGOGI,E:49070.0000000364/2026,CASAL,NC 68,Ausência de dispositivo de cloração,Pendente,Estrutural
MARAGOGI,E:49070.0000001774/2024,CASAL,NC 67,Ausência da laje de proteção,Sanado,Segurança
MAR VERMELHO,E:49070.0000005493/2023,VAA,NC 09,Ausência de macromedidor na saída da ETE,Sanado,Medição e Aferição
MAR VERMELHO,E:49070.0000005098/2023,CASAL,NC 12,Condicionamento dos produtos quimicos de forma irregular,Sanado,Outros
MAR VERMELHO,E:49070.0000005493/2023,VAA,NC 02,Escada com pontos de oxidação,Sanado,Segurança
MAR VERMELHO,E:49070.0000005493/2023,VAA,NC 01,Ausência de identificação do reservatório,Sanado,Estrutural
MAR VERMELHO,E:49070.0000005493/2023,VAA,NC 08,Vazamento na câmara de ultravioleta,Sanado,Hidráulico
MAR VERMELHO,E:49070.0000005493/2023,VAA,NC 07,Fiação exposta,Sanado,Elétrico
MAR VERMELHO,E:49070.0000005493/2023,VAA,NC 06,Ausência de bomba reserva,Sanado,Outros
MAR VERMELHO,E:49070.0000005493/2023,VAA,NC 05,Ausência de macromedidor,Sanado,Medição e Aferição
MAR VERMELHO,E:49070.0000005493/2023,VAA,NC 04,Ausência de guarda-corpo na laje de cobertura,Sanado,Segurança
MAR VERMELHO,E:49070.0000005493/2023,VAA,NC 11,Adequação no sistema elétrico,Sanado,Outros
MAR VERMELHO,E:49070.0000005493/2023,VAA,NC 10,Adequação no sistema elétrico,Sanado,Outros
MAR VERMELHO,E:49070.0000005098/2023,CASAL,NC 15,Condições da sala do operador estão precária,Pendente,Limpeza e Conservação
MAR VERMELHO,E:49070.0000005098/2023,CASAL,NC 14,Acumulo de água na laje do reservatório da ETA,Sanado,Estrutural
MAR VERMELHO,E:49070.0000005098/2023,CASAL,NC 13,Ausência de guarda-corpo na laje de cobertura,Sanado,Segurança
MAR VERMELHO,E:49070.0000005098/2023,CASAL,NC 01,Determina-se a apresentação de outorga para uso do manancial,Sanado,Ausência de Licenciamento
MAR VERMELHO,E:49070.0000005098/2023,CASAL,NC 02,Ausência de macromedidor,Pendente,Medição e Aferição
MAR VERMELHO,E:49070.0000005098/2023,CASAL,NC 03,Ausência de identificação na captação,Sanado,Ausência de Identificação
MAR VERMELHO,E:49070.0000005098/2023,CASAL,NC 04,Excesso de vegetação em torno da barragem,Sanado,Limpeza e Conservação
MAR VERMELHO,E:49070.0000005098/2023,CASAL,NC 05,Eutrofização na captação,Sanado,Outros
MAR VERMELHO,E:49070.0000005098/2023,CASAL,NC 06,Caixa de inspeção sem tampa,Sanado,Outros
MAR VERMELHO,E:49070.0000005098/2023,CASAL,NC 07,Ausência de identificação na captação,Sanado,Ausência de Identificação
MAR VERMELHO,E:49070.0000005098/2023,CASAL,NC 08,Excesso de vegetação em torno da Elevatória de Água Bruta,Sanado,Limpeza e Conservação
MAR VERMELHO,E:49070.0000005098/2023,CASAL,NC 09,Determina-se a apresentação de outorga para lançamento referente ao efluente oriundo da limpeza do sistema,Sanado,Limpeza e Conservação
MAR VERMELHO,E:49070.0000005098/2023,CASAL,NC 10,Ausência de identificação na ETA,Sanado,Ausência de Identificação
MAR VERMELHO,E:49070.0000005098/2023,CASAL,NC 11,Ausência de tampa no filtro,Pendente,Outros
MAR VERMELHO,E:49070.0000005493/2023,VAA,NC 03,Acúmulo de água na laje do reservatório,Sanado,Estrutural
MAJOR IZIDORO,E:49070.0000000529/2026,CASAL,NC 01,Ausência ou comprometimento da integridade do bloco de ancoragem,Pendente,Outros
MAJOR IZIDORO,E:49070.0000000529/2026,CASAL,NC 03,"Ausência ou comprometimento da integridade do guarda-corpo em locais de circulação com altura superior a 2,0 m ou potencialmente perigosos",Pendente,Segurança
MAJOR IZIDORO,E:49070.0000000529/2026,CASAL,NC 05,Limpeza e conservação inadequadas,Pendente,Limpeza e Conservação
MAJOR IZIDORO,E:49070.0000000529/2026,CASAL,NC 02,Falta de bomba reserva,Pendente,Outros
MAJOR IZIDORO,E:49070.0000000529/2026,CASAL,NC 04,Patologias no reservatório,Pendente,Estrutural
MACEIÓ (SERRARIA E JACARECICA),E:49070.0000001393/2025,BRK,NC 16,Ausência de guarda-corpo na laje de cobertura do reservatório,Justificado,Segurança
MACEIÓ (SERRARIA E JACARECICA),E:49070.0000001447/2025,CASAL,NC 91,Ausência de identificação,Pendente,Ausência de Identificação
MACEIÓ (SERRARIA E JACARECICA),E:49070.0000001447/2025,CASAL,NC 24,Ausência de laje de proteção,Pendente,Segurança
MACEIÓ (SERRARIA E JACARECICA),E:49070.0000001447/2025,CASAL,NC 25,Mal estado de conservação do local ao qual abriga o quadro de força,Pendente,Elétrico
MACEIÓ (SERRARIA E JACARECICA),E:49070.0000001447/2025,CASAL,NC 26,Fiação exposta no quadro de força,Pendente,Elétrico
MACEIÓ (SERRARIA E JACARECICA),E:49070.0000001447/2025,CASAL,NC 27,Tampa de proteção do poço danificada,Pendente,Segurança
MACEIÓ (SERRARIA E JACARECICA),E:49070.0000001447/2025,CASAL,NC 28,Ausência de identificação,Pendente,Ausência de Identificação
MACEIÓ (SERRARIA E JACARECICA),E:49070.0000001447/2025,CASAL,NC 29,Ausência de anteparo perimetral,Pendente,Outros
MACEIÓ (SERRARIA E JACARECICA),E:49070.0000001447/2025,CASAL,NC 30,Falta de iluminação adequada (p/ operações ao qual necessite de iluminação no local),Pendente,Segurança
MACEIÓ (SERRARIA E JACARECICA),E:49070.0000001447/2025,CASAL,NC 31,Necessidade de limpeza na área circundante ao poço,Pendente,Limpeza e Conservação
MACEIÓ (SERRARIA E JACARECICA),E:49070.0000001447/2025,CASAL,NC 32,Ausência de extintor,Pendente,Segurança
MACEIÓ (SERRARIA E JACARECICA),E:49070.0000001447/2025,CASAL,NC 33,Ausência de laje de proteção,Pendente,Segurança
MACEIÓ (SERRARIA E JACARECICA),E:49070.0000001447/2025,CASAL,NC 34,Mal estado de conservação do local ao qual abriga o quadro de força,Pendente,Elétrico
MACEIÓ (SERRARIA E JACARECICA),E:49070.0000001447/2025,CASAL,NC 35,Fiação exposta no quadro de força,Pendente,Elétrico
MACEIÓ (SERRARIA E JACARECICA),E:49070.0000001447/2025,CASAL,NC 36,Tampa de proteção do poço danificada,Pendente,Segurança
MACEIÓ (SERRARIA E JACARECICA),E:49070.0000001447/2025,CASAL,NC 37,Fiação exposta na instalação elétrica do Poço,Pendente,Elétrico
MACEIÓ (SERRARIA E JACARECICA),E:49070.0000001447/2025,CASAL,NC 38,Necessidade de limpeza na área circundante ao poço,Pendente,Limpeza e Conservação
MACEIÓ (SERRARIA E JACARECICA),E:49070.0000001447/2025,CASAL,NC 39,Falta de iluminação adequada (p/ operações ao qual necessite de iluminação no local),Pendente,Segurança
MACEIÓ (SERRARIA E JACARECICA),E:49070.0000001447/2025,CASAL,NC 40,Ausência de extintor,Pendente,Segurança
MACEIÓ (SERRARIA E JACARECICA),E:49070.0000001447/2025,CASAL,NC 41,Mal estado de conservação do local ao qual abriga o quadro de força,Pendente,Elétrico
MACEIÓ (SERRARIA E JACARECICA),E:49070.0000001447/2025,CASAL,NC 42,Fiação exposta no quadro de força,Pendente,Elétrico
MACEIÓ (SERRARIA E JACARECICA),E:49070.0000001447/2025,CASAL,NC 43,Fiação exposta na instalação elétrica do Poço,Pendente,Elétrico
MACEIÓ (SERRARIA E JACARECICA),E:49070.0000001447/2025,CASAL,NC 44,Ausência do dosador de cloro,Pendente,Outros
MACEIÓ (SERRARIA E JACARECICA),E:49070.0000001447/2025,CASAL,NC 45,Necessidade de limpeza na área circundante ao poço,Pendente,Limpeza e Conservação
MACEIÓ (SERRARIA E JACARECICA),E:49070.0000001447/2025,CASAL,NC 46,Falta de iluminação adequada (p/ operações ao qual necessite de iluminação no local),Pendente,Segurança
MACEIÓ (SERRARIA E JACARECICA),E:49070.0000001447/2025,CASAL,NC 47,Ausência de extintor,Pendente,Segurança
MACEIÓ (SERRARIA E JACARECICA),E:49070.0000001447/2025,CASAL,NC 48,Ausência de porta no local que abriga quadro de força danificada,Pendente,Elétrico
MACEIÓ (SERRARIA E JACARECICA),E:49070.0000001447/2025,CASAL,NC 49,Fiação exposta no quadro de força,Pendente,Elétrico
MACEIÓ (SERRARIA E JACARECICA),E:49070.0000001447/2025,CASAL,NC 50,Ausência do dosador de cloro,Pendente,Outros
MACEIÓ (SERRARIA E JACARECICA),E:49070.0000001447/2025,CASAL,NC 51,Ausência de identificação,Pendente,Ausência de Identificação
MACEIÓ (SERRARIA E JACARECICA),E:49070.0000001447/2025,CASAL,NC 52,Ausência de anteparo perimetral,Pendente,Outros
MACEIÓ (SERRARIA E JACARECICA),E:49070.0000001447/2025,CASAL,NC 53,Ausência de extintor,Pendente,Segurança
MACEIÓ (SERRARIA E JACARECICA),E:49070.0000001447/2025,CASAL,NC 54,Ausência de laje de proteção,Pendente,Segurança
MACEIÓ (SERRARIA E JACARECICA),E:49070.0000001447/2025,CASAL,NC 55,Mal estado de conservação do local ao qual abriga o quadro de força,Pendente,Elétrico
MACEIÓ (SERRARIA E JACARECICA),E:49070.0000001447/2025,CASAL,NC 56,Porta do local que abriga quadro de força danificada,Pendente,Elétrico
MACEIÓ (SERRARIA E JACARECICA),E:49070.0000001447/2025,CASAL,NC 57,Fiação exposta no quadro de força,Pendente,Elétrico
MACEIÓ (SERRARIA E JACARECICA),E:49070.0000001447/2025,CASAL,NC 58,Ausência do dosador de cloro,Pendente,Outros
MACEIÓ (SERRARIA E JACARECICA),E:49070.0000001447/2025,CASAL,NC 59,Ausência de identificação,Pendente,Ausência de Identificação
MACEIÓ (SERRARIA E JACARECICA),E:49070.0000001447/2025,CASAL,NC 60,Ausência de anteparo perimetral,Pendente,Outros
MACEIÓ (SERRARIA E JACARECICA),E:49070.0000001447/2025,CASAL,NC 61,Ausência de extintor,Pendente,Segurança
MACEIÓ (SERRARIA E JACARECICA),E:49070.0000001447/2025,CASAL,NC 62,Ausência de identificação,Pendente,Ausência de Identificação
MACEIÓ (SERRARIA E JACARECICA),E:49070.0000001447/2025,CASAL,NC 63,Ausência de extintor,Pendente,Segurança
MACEIÓ (SERRARIA E JACARECICA),E:49070.0000001447/2025,CASAL,NC 64,Porta do local que abriga quadro de força danificada,Pendente,Elétrico
MACEIÓ (SERRARIA E JACARECICA),E:49070.0000001447/2025,CASAL,NC 65,Tampa de proteção do poço em processo corrosivo,Pendente,Segurança
MACEIÓ (SERRARIA E JACARECICA),E:49070.0000001447/2025,CASAL,NC 66,Ausência de identificação,Pendente,Ausência de Identificação
MACEIÓ (SERRARIA E JACARECICA),E:49070.0000001447/2025,CASAL,NC 22,Necessidade de limpeza na área circundante ao poço,Pendente,Limpeza e Conservação
MACEIÓ (SERRARIA E JACARECICA),E:49070.0000001447/2025,CASAL,NC 21,Ausência de anteparo perimetral,Pendente,Outros
MACEIÓ (SERRARIA E JACARECICA),E:49070.0000001447/2025,CASAL,NC 20,Ausência de identificação,Pendente,Ausência de Identificação
MACEIÓ (SERRARIA E JACARECICA),E:49070.0000001447/2025,CASAL,NC 19,Fiação exposta na instalação elétrica do Poço,Pendente,Elétrico
MACEIÓ (SERRARIA E JACARECICA),E:49070.0000001447/2025,CASAL,NC 18,Ausência de laje de proteção,Pendente,Segurança
MACEIÓ (SERRARIA E JACARECICA),E:49070.0000001447/2025,CASAL,NC 17,Ausência de extintor,Pendente,Segurança
MACEIÓ (SERRARIA E JACARECICA),E:49070.0000001447/2025,CASAL,NC 16,Mal estado de conservação do local ao qual abriga o quadro de força,Pendente,Elétrico
MACEIÓ (SERRARIA E JACARECICA),E:49070.0000001447/2025,CASAL,NC 15,Necessidade de limpeza na área circundante ao poço,Pendente,Limpeza e Conservação
MACEIÓ (SERRARIA E JACARECICA),E:49070.0000001447/2025,CASAL,NC 14,Porta do quadro de força danificada,Pendente,Elétrico
MACEIÓ (SERRARIA E JACARECICA),E:49070.0000001447/2025,CASAL,NC 13,Ausência de laje de proteção,Pendente,Segurança
MACEIÓ (SERRARIA E JACARECICA),E:49070.0000001447/2025,CASAL,NC 12,Ausência de bomba reserva,Pendente,Outros
MACEIÓ (SERRARIA E JACARECICA),E:49070.0000001447/2025,CASAL,NC 11,Ausência de extintor,Pendente,Segurança
MACEIÓ (SERRARIA E JACARECICA),E:49070.0000001447/2025,CASAL,NC 10,Falta de iluminação adequada (p/ operações ao qual necessite de iluminação no local),Pendente,Segurança
MACEIÓ (SERRARIA E JACARECICA),E:49070.0000001447/2025,CASAL,NC 09,Necessidade de limpeza,Pendente,Limpeza e Conservação
MACEIÓ (SERRARIA E JACARECICA),E:49070.0000001447/2025,CASAL,NC 08,Patologias estruturais no muro perimetral,Pendente,Estrutural
MACEIÓ (SERRARIA E JACARECICA),E:49070.0000001447/2025,CASAL,NC 07,Corrosão na armadura da laje do salão que abriga o quadro de força,Pendente,Estrutural
MACEIÓ (SERRARIA E JACARECICA),E:49070.0000001447/2025,CASAL,NC 06,Fiação exposta no quadro de força,Pendente,Elétrico
MACEIÓ (SERRARIA E JACARECICA),E:49070.0000001447/2025,CASAL,NC 05,Ausência de laje de proteção,Pendente,Segurança
MACEIÓ (SERRARIA E JACARECICA),E:49070.0000001393/2025,BRK,NC 20,Ausência de extintor de incêndio,Repasse,Segurança
MACEIÓ (SERRARIA E JACARECICA),E:49070.0000001393/2025,BRK,NC 19,Presença de corrosão na estrutura do reservatório,Repasse,Estrutural
MACEIÓ (SERRARIA E JACARECICA),E:49070.0000001393/2025,BRK,NC 18,Ausência de sinalização de segurança,Repasse,Ausência de Identificação
MACEIÓ (SERRARIA E JACARECICA),E:49070.0000001393/2025,BRK,NC 17,Ausência de sinalização de identificação do reservatório,Repasse,Estrutural
MACEIÓ (SERRARIA E JACARECICA),E:49070.0000001447/2025,CASAL,NC 90,Ausência do dosador de cloro,Pendente,Outros
MACEIÓ (SERRARIA E JACARECICA),E:49070.0000001393/2025,BRK,NC 15,Ausência de extintor de incêndio,Repasse,Segurança
MACEIÓ (SERRARIA E JACARECICA),E:49070.0000001393/2025,BRK,NC 14,Limpeza e conservação da área do quadro elétrico,Repasse,Elétrico
MACEIÓ (SERRARIA E JACARECICA),E:49070.0000001393/2025,BRK,NC 13,Ausência de controle de nível,Repasse,Medição e Aferição
MACEIÓ (SERRARIA E JACARECICA),E:49070.0000001393/2025,BRK,NC 12,Exposição de armaduras na laje inferior e nos pilares,Repasse,Estrutural
MACEIÓ (SERRARIA E JACARECICA),E:49070.0000001393/2025,BRK,NC 11,Vazamento no reservatório,Repasse,Estrutural
MACEIÓ (SERRARIA E JACARECICA),E:49070.0000001393/2025,BRK,NC 10,Ausência de sinalização de segurança,Repasse,Ausência de Identificação
MACEIÓ (SERRARIA E JACARECICA),E:49070.0000001393/2025,BRK,NC 09,Ausência de extintor de incêndio,Repasse,Segurança
MACEIÓ (SERRARIA E JACARECICA),E:49070.0000001393/2025,BRK,NC 08,Ausência de guarda-corpo na escada de acesso,Repasse,Segurança
MACEIÓ (SERRARIA E JACARECICA),E:49070.0000001393/2025,BRK,NC 07,Ausência de guarda-corpo na laje de cobertura do reservatório,Repasse,Segurança
MACEIÓ (SERRARIA E JACARECICA),E:49070.0000001393/2025,BRK,NC 06,Eflorescência na parede do reservatório,Repasse,Estrutural
MACEIÓ (SERRARIA E JACARECICA),E:49070.0000001393/2025,BRK,NC 05,Exposição de armaduras na laje inferior e nos pilares,Repasse,Estrutural
MACEIÓ (SERRARIA E JACARECICA),E:49070.0000001393/2025,BRK,NC 04,Cadastro de bens desatualizado,Justificado,Outros
